age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
25,4,12837,12,5,4,4,1,4,1,0,0,34,39
33,4,6587,12,5,2,12,0,4,1,0,0,34,39
30,2,18511,14,6,2,10,0,4,1,0,0,28,39
4,4,17098,15,1,4,8,1,4,0,0,0,12,39
36,4,27886,7,3,5,4,4,4,0,0,0,34,39
18,2,12140,9,4,2,10,0,4,1,0,0,34,39
11,4,12859,11,15,4,3,3,4,1,0,0,34,39
23,4,2777,11,15,2,6,0,4,1,0,0,34,39
7,4,24894,9,4,4,10,1,2,1,0,0,34,39
4,4,9721,11,15,4,6,3,4,1,0,0,34,39
5,4,16249,15,1,4,14,3,4,1,0,0,12,39
0,4,4047,0,12,4,12,3,4,0,0,0,6,39
20,4,8059,11,15,0,7,4,2,0,0,0,34,39
4,4,14000,15,1,4,6,3,4,0,0,0,34,39
16,4,10073,2,14,2,6,0,4,1,0,0,34,39
2,4,10038,11,15,4,8,3,4,0,68,0,12,39
3,4,18502,15,1,4,8,3,4,1,0,0,12,39
12,7,4841,7,3,4,10,1,2,1,0,0,34,39
6,7,27892,11,15,4,8,3,2,1,0,0,34,39
10,6,26173,11,15,2,5,0,4,1,0,0,45,39
20,4,7791,5,10,4,8,3,2,1,0,0,51,39
20,4,26643,11,15,2,6,0,1,1,0,0,34,39
6,4,12971,15,1,2,4,5,2,0,0,0,34,39
16,6,24826,8,2,2,5,0,4,1,0,0,61,39
38,4,7380,15,1,2,10,0,4,1,0,0,34,31
7,4,24272,8,2,2,3,5,4,0,0,0,34,39
7,4,6382,11,15,4,3,1,4,1,0,0,34,39
2,0,16206,11,15,4,0,3,4,1,0,0,23,39
41,4,11478,9,4,0,4,1,4,1,0,0,61,39
27,4,11868,11,15,2,14,0,4,1,94,0,34,39
4,4,20128,5,10,4,8,2,4,1,0,0,42,26
1,4,25079,0,12,4,8,3,4,1,0,0,55,39
24,2,14478,15,1,2,3,0,4,1,0,0,34,39
6,2,24928,15,1,3,1,3,4,0,0,0,34,13
37,0,10425,4,9,2,0,0,4,1,0,0,34,39
19,6,25893,9,4,2,12,0,4,1,0,0,34,39
25,4,20490,8,2,2,7,0,4,1,45,0,34,39
4,4,3803,15,1,4,10,3,4,1,0,0,1,39
28,4,15708,15,1,4,12,1,2,1,0,0,34,39
27,6,13658,9,4,0,3,3,4,1,0,0,34,39
20,4,17516,11,15,0,4,4,4,0,0,0,3,39
33,0,21635,5,10,5,0,3,4,0,0,0,12,39
26,4,196,12,5,4,4,1,4,0,0,0,39,39
14,4,23241,11,15,4,10,3,4,0,0,0,29,39
5,4,11508,9,4,4,4,1,4,0,0,0,23,39
46,4,19230,15,1,0,8,1,4,1,0,0,34,39
25,4,20754,15,1,4,8,1,4,1,0,0,34,39
28,4,6932,1,13,0,3,1,4,1,0,0,34,39
25,4,7670,5,10,5,7,4,2,0,0,0,34,39
20,2,18642,7,3,2,10,5,2,0,122,0,34,0
42,0,5544,11,15,2,0,5,4,0,114,0,34,39
41,4,721,11,15,2,3,0,4,1,0,0,34,39
31,4,9466,15,1,0,4,1,4,0,0,0,34,39
15,4,19480,15,1,0,4,4,4,0,0,0,23,39
33,5,18438,10,7,2,10,0,4,1,20,0,56,39
36,2,8976,12,5,0,10,1,4,0,0,0,28,39
20,4,17792,11,15,0,3,1,4,1,0,0,34,39
18,7,2880,11,15,2,3,0,4,1,111,0,34,39
22,4,12177,10,7,2,10,0,4,1,0,0,45,39
25,4,9442,11,15,2,7,5,4,0,111,0,34,39
1,4,19024,11,15,4,8,3,4,0,0,0,19,39
17,7,14502,15,1,0,1,1,4,0,0,0,31,39
7,4,6179,2,14,4,5,3,4,1,0,0,23,39
28,2,27461,9,4,2,10,5,4,0,0,0,50,39
40,4,21974,11,15,0,14,1,4,1,0,0,39,39
18,4,10817,11,15,0,1,4,4,0,0,0,31,39
11,4,23552,7,3,2,13,0,4,1,0,0,39,39
21,4,939,11,15,2,4,0,4,1,0,0,34,39
17,6,11416,9,4,2,3,0,1,1,20,0,67,35
7,4,28202,15,1,4,1,1,4,0,0,0,8,39
5,4,18425,11,15,4,14,1,4,1,0,0,28,39
15,4,24257,7,3,2,6,0,4,1,0,0,34,39
25,4,11630,8,2,0,8,4,4,0,0,0,25,39
18,4,15558,11,15,3,1,4,2,0,0,0,34,39
7,4,24725,1,13,4,10,1,2,0,0,0,23,39
21,2,21244,15,1,4,1,3,4,0,0,0,34,39
20,6,21766,7,3,2,14,0,4,1,0,0,45,39
4,4,7956,7,3,4,1,3,4,1,0,0,28,39
14,4,16279,14,6,2,10,0,4,1,0,0,45,39
14,4,1888,11,15,2,7,0,4,1,0,0,34,39
36,4,22245,11,15,2,10,0,4,1,0,0,34,39
5,4,27271,15,1,4,1,3,4,1,0,0,23,39
21,4,9750,1,13,2,3,0,4,1,0,0,39,39
24,4,12634,15,1,4,12,1,4,1,0,0,34,39
18,4,12053,6,11,2,3,0,4,1,0,0,34,39
18,4,26880,9,4,2,12,0,4,1,0,0,39,39
22,6,19274,15,1,5,3,1,4,1,0,0,56,39
16,4,24278,11,15,2,10,0,4,1,0,0,28,39
3,4,12127,15,1,4,12,3,4,0,0,0,3,39
1,0,9391,1,13,4,0,3,2,1,0,0,23,39
31,4,3960,11,15,2,3,0,4,1,0,10,50,39
21,2,28004,11,15,2,6,5,4,0,64,0,45,39
17,0,20849,5,10,5,0,4,2,0,0,0,34,39
10,5,22767,11,15,4,12,1,4,1,0,0,45,39
8,4,24442,1,13,2,7,0,4,1,0,0,34,39
36,6,6118,11,15,2,3,0,2,1,64,0,68,39
25,4,5432,9,4,0,12,4,4,1,0,0,39,0
7,4,6265,9,4,4,10,1,4,1,0,0,17,39
27,4,13498,7,3,2,3,0,4,1,0,39,34,39
15,4,1826,9,4,2,4,0,4,1,0,42,50,39
16,4,17036,0,12,2,7,0,4,1,0,0,34,13
57,4,26471,11,15,6,12,4,4,0,0,0,18,39
29,4,5076,9,4,0,10,1,4,1,0,0,39,9
10,4,5074,15,1,2,1,0,4,1,0,0,23,39
20,5,10298,15,1,2,12,0,4,1,0,0,56,39
29,4,10044,15,1,2,14,0,4,1,0,0,34,39
5,4,4203,11,15,4,8,3,4,1,0,0,34,39
29,6,15005,11,15,2,5,0,4,1,0,0,28,39
45,7,6429,9,4,2,4,0,4,1,0,0,34,39
9,4,21360,11,15,2,10,0,4,1,0,0,34,39
39,6,12856,5,10,0,12,2,4,1,0,0,12,26
33,6,26139,11,15,0,10,1,1,0,0,0,56,40
45,0,9126,15,1,2,0,5,4,0,0,0,39,39
3,4,55,11,15,4,12,3,3,1,0,0,34,33
1,4,20569,6,11,4,5,3,4,1,0,0,12,39
37,2,3010,11,15,6,8,4,2,0,0,0,34,39
41,6,10722,11,15,0,7,4,4,1,0,0,12,39
34,4,22639,15,1,2,4,0,4,1,0,50,34,39
38,6,9378,15,1,2,5,0,4,1,0,0,95,39
14,4,3340,11,15,2,3,0,4,1,0,0,34,39
15,4,12894,15,1,4,1,1,4,0,0,0,34,39
8,4,6819,8,2,4,5,1,4,1,0,0,12,39
14,4,22148,9,4,4,12,1,0,1,0,0,56,39
35,4,16208,7,3,2,4,0,4,1,0,0,50,39
8,4,13252,9,4,4,12,3,4,0,0,0,34,39
3,4,16235,15,1,4,11,3,4,0,0,0,7,39
19,4,9278,11,15,2,3,3,4,0,0,50,34,39
13,2,11305,11,15,2,3,0,4,1,0,0,34,39
31,4,28051,15,1,0,8,4,2,0,0,0,28,39
19,4,11812,9,4,2,4,5,4,0,0,0,34,39
15,4,3833,15,1,2,3,0,4,1,0,0,34,39
35,1,3123,11,15,0,1,1,4,0,0,0,34,39
29,4,4440,4,9,4,7,3,4,0,0,0,34,6
46,0,7416,9,4,2,0,5,2,0,0,0,39,39
34,4,11668,11,15,2,6,0,4,1,0,0,42,39
13,4,14903,11,15,0,8,4,4,0,0,0,34,39
19,4,11359,9,4,2,10,0,4,1,20,0,45,39
38,4,560,11,15,2,7,0,4,1,0,0,34,39
24,4,21565,11,15,0,4,1,4,0,12,0,56,39
27,4,6082,2,14,0,14,1,4,0,0,0,34,39
21,4,24161,15,1,5,8,1,4,0,88,0,68,39
3,7,13344,15,1,4,3,3,4,1,0,0,31,39
25,4,13588,11,15,4,3,3,2,1,0,0,34,0
31,4,28344,7,3,2,3,0,4,1,0,0,39,39
11,4,3535,9,4,4,12,4,4,1,0,0,61,39
21,1,13501,8,2,2,3,0,4,1,0,0,34,39
32,2,17560,12,5,2,10,0,4,1,111,0,34,39
9,4,24533,11,15,2,3,0,4,1,0,0,34,39
24,4,11470,14,6,2,4,0,4,1,0,0,34,39
29,4,22187,9,4,2,4,0,4,1,0,0,46,39
43,6,25460,8,2,2,8,5,4,0,0,0,34,39
2,0,28331,15,1,4,0,3,1,1,0,0,25,39
16,4,17868,9,4,2,8,0,1,1,114,0,31,39
3,4,22998,2,14,4,7,3,4,1,0,0,34,39
9,6,19932,11,15,2,4,0,4,1,0,0,39,39
38,4,27056,9,4,0,10,4,4,0,0,0,34,39
30,6,20961,7,3,4,5,2,4,1,1,0,39,39
12,2,22559,12,5,4,10,1,4,0,0,0,45,39
3,4,16519,15,1,4,6,3,4,1,0,0,34,39
6,7,9687,9,4,4,1,1,4,1,0,0,7,39
31,4,11672,9,4,2,14,0,4,1,0,0,39,39
10,4,427,9,4,2,10,5,4,0,0,22,45,39
31,4,12821,11,15,5,1,4,4,0,118,0,34,39
12,4,13982,11,15,4,1,2,4,0,0,0,34,39
27,4,14413,9,4,2,4,0,4,1,0,0,34,39
29,4,6760,11,15,2,3,5,4,0,96,0,34,39
13,4,25726,11,15,4,1,4,4,1,0,49,36,39
0,4,18753,1,13,4,7,3,3,1,0,0,3,39
19,4,1685,8,2,2,10,5,4,0,0,0,45,39
31,4,5076,11,15,2,14,0,4,1,0,0,34,39
15,4,3517,11,15,2,1,0,4,1,0,0,34,39
12,4,10886,9,4,2,4,0,4,1,0,0,34,39
26,2,8744,12,5,2,10,0,4,1,0,0,34,39
22,4,15920,9,4,2,10,0,4,1,0,0,45,39
3,4,18425,15,1,4,14,3,4,1,0,0,23,39
17,0,22301,11,15,4,0,4,2,0,0,0,28,39
2,0,19450,11,15,4,0,3,2,1,0,0,1,39
6,4,25321,11,15,4,3,1,4,1,0,0,23,39
10,4,382,11,15,0,1,1,4,1,0,0,31,39
22,4,2594,1,13,2,8,0,3,1,0,0,34,13
11,4,28026,15,1,4,3,1,4,1,0,0,37,26
18,4,18050,11,15,2,7,0,4,1,0,0,50,39
31,7,25507,9,4,2,10,0,4,1,0,0,34,39
18,2,9020,11,15,5,11,1,4,1,0,0,36,39
45,0,11207,11,15,2,0,0,4,1,0,0,34,39
32,1,19949,15,1,2,4,0,4,1,0,0,34,39
8,4,27657,11,15,4,1,3,1,0,0,0,34,39
52,0,21201,11,15,2,0,0,4,1,0,0,16,39
5,4,22283,15,1,4,8,3,4,1,0,0,28,39
31,4,10596,11,15,2,7,0,4,1,0,0,34,39
12,4,16634,4,9,4,8,2,4,0,0,0,34,8
28,1,9828,12,5,2,10,0,4,1,0,0,34,39
33,4,4915,15,1,6,4,4,1,0,0,0,34,39
42,0,203,3,8,2,0,0,4,1,0,0,39,32
10,4,27434,11,15,4,13,4,4,0,0,0,34,11
27,4,21707,8,2,2,4,0,4,1,0,0,45,11
1,4,23760,1,13,4,3,3,4,1,0,0,12,39
10,4,3692,11,15,2,7,5,4,0,0,0,34,6
20,4,7618,11,15,4,8,4,2,0,0,0,23,39
1,4,23288,2,14,4,8,3,4,0,0,0,25,39
30,2,12153,15,1,4,8,3,4,0,0,0,12,39
48,4,15282,3,8,2,8,0,4,1,0,0,28,26
20,4,23568,5,10,2,3,0,4,1,0,0,39,26
23,4,18611,1,13,5,7,1,2,1,0,0,29,39
22,6,1060,14,6,2,10,0,4,1,20,0,45,39
15,4,3744,12,5,5,4,1,4,1,0,85,50,39
18,4,12185,8,2,2,8,5,2,0,0,0,34,39
22,4,8111,9,4,2,10,0,2,1,0,0,56,0
9,4,18350,15,1,4,12,1,4,1,0,0,39,39
40,5,15890,15,1,2,12,0,4,1,0,0,45,39
39,4,22466,8,2,2,4,0,4,1,20,0,34,39
23,6,27132,6,11,0,8,1,0,0,0,0,12,39
45,1,14057,15,1,4,10,1,4,1,0,0,34,39
39,4,21624,9,4,2,10,0,4,1,0,0,39,39
18,4,13021,11,15,2,13,5,4,0,0,0,28,39
42,4,25008,11,15,2,3,0,4,1,0,0,34,39
19,4,5423,15,1,2,3,0,4,1,0,0,45,39
19,4,12549,9,4,2,12,0,4,1,20,0,61,39
64,6,15553,9,4,6,5,1,4,1,0,0,23,39
17,4,27024,9,4,4,4,3,0,0,0,0,34,39
24,4,10850,11,15,4,4,1,4,0,0,0,34,39
31,4,9466,11,15,0,12,4,4,0,0,0,23,39
32,4,4582,11,15,2,12,0,4,1,0,42,39,39
16,4,23498,11,15,2,7,5,4,0,0,0,34,26
40,4,1263,6,11,2,14,0,4,1,0,0,45,39
32,4,3763,12,5,0,12,4,3,0,0,0,12,29
48,1,8732,11,15,0,1,1,4,0,0,0,34,39
7,4,2092,2,14,2,7,0,4,1,0,0,34,39
21,4,9538,11,15,0,12,1,4,1,0,0,45,39
7,4,10278,9,4,4,10,1,4,0,0,0,45,39
17,4,1367,0,12,0,8,4,4,0,0,0,31,39
22,2,10179,1,13,0,1,4,4,0,0,0,34,39
23,4,2006,11,15,2,10,0,0,1,0,0,45,39
24,4,14759,11,15,4,8,4,4,0,0,0,34,33
34,4,18755,9,4,2,4,0,4,1,0,0,56,39
29,4,242,15,1,2,4,0,4,1,0,0,45,39
7,4,12908,9,4,4,4,2,4,0,0,0,56,39
20,4,25061,9,4,4,1,1,2,0,0,0,34,39
20,4,23539,9,4,4,10,1,4,0,0,4,36,39
17,2,15013,7,3,2,10,0,4,1,0,0,34,39
34,2,3795,11,15,2,4,5,4,0,0,0,25,39
17,4,14700,9,4,2,10,0,4,1,0,0,36,39
67,2,3716,8,2,6,1,1,4,0,0,0,5,39
43,4,27416,11,15,2,3,0,1,1,0,0,34,39
10,4,4799,15,1,2,4,5,4,0,0,0,34,39
12,4,22113,5,10,2,5,0,4,1,0,0,34,39
19,4,15498,8,2,4,7,1,4,1,0,0,34,39
11,4,25609,15,1,4,4,1,4,1,35,0,50,39
35,4,20142,11,15,0,8,1,4,1,0,0,34,39
26,4,14604,9,4,4,1,1,2,1,0,0,45,28
32,4,1872,12,5,0,10,1,4,1,0,0,56,39
14,4,6422,11,15,2,1,5,4,0,0,0,34,39
28,4,16403,15,1,2,10,0,4,1,0,0,45,39
16,4,5752,11,15,0,3,1,4,1,0,0,34,39
16,4,11335,11,15,4,3,3,4,1,0,0,34,39
30,4,5667,11,15,2,14,0,4,1,114,0,50,39
22,4,12388,15,1,0,1,1,4,0,0,0,34,39
33,5,3806,11,15,2,5,0,4,1,0,0,45,39
12,0,28441,11,15,2,0,1,1,0,0,0,34,1
8,4,16196,0,12,2,7,0,4,1,0,0,34,13
30,4,1723,11,15,2,3,0,4,1,0,0,45,39
35,4,16818,0,12,2,3,0,4,1,0,42,41,39
22,4,26181,15,1,2,4,0,4,1,0,0,34,39
11,4,16841,9,4,4,8,1,4,0,0,0,45,39
24,4,7513,15,1,2,3,0,4,1,0,0,34,39
32,4,2621,11,15,5,1,4,2,0,0,0,34,39
42,2,6338,9,4,4,1,1,4,1,0,0,31,39
9,4,12,7,3,0,14,4,4,0,0,0,23,39
34,4,6016,11,15,2,14,0,4,1,0,0,80,39
6,4,12792,15,1,4,8,1,4,0,0,0,20,39
45,4,16747,11,15,6,1,1,4,0,0,0,31,39
45,4,8399,2,14,2,4,0,4,1,0,0,23,39
20,4,14418,4,9,2,3,0,4,1,0,0,34,39
8,4,8388,11,15,4,8,1,1,1,86,0,39,30
5,4,19837,11,15,4,14,3,4,1,0,0,34,39
19,5,6690,7,3,5,4,1,4,1,0,0,45,39
33,4,24308,11,15,2,7,0,4,1,0,0,34,39
27,4,2417,15,1,0,1,1,1,0,0,0,30,39
10,4,19634,7,3,2,1,0,4,1,0,0,34,39
41,4,2177,8,2,0,1,1,4,0,0,0,56,39
35,4,27294,15,1,2,12,3,4,0,0,0,34,39
31,4,17468,11,15,0,3,1,4,1,0,0,45,39
20,4,7928,9,4,6,10,1,4,0,0,0,45,39
20,1,2814,11,15,2,1,0,4,1,0,0,34,39
44,6,7165,11,15,6,1,4,4,0,0,0,12,39
17,4,20202,15,1,4,1,1,4,1,0,0,34,39
12,4,18605,9,4,2,10,5,4,0,0,0,45,39
25,2,20282,1,13,2,14,0,4,1,0,0,34,39
29,2,13970,9,4,0,1,1,4,0,122,0,34,39
35,4,4960,0,12,3,10,2,1,1,0,0,39,0
58,6,21513,11,15,2,5,0,1,1,0,0,6,39
23,4,786,9,4,2,4,0,4,1,0,0,34,39
6,4,2448,11,15,4,7,1,4,0,0,0,34,39
23,4,163,11,15,4,3,1,4,1,0,0,34,39
37,5,4838,10,7,2,10,0,4,1,0,0,56,39
37,4,17348,9,4,2,3,0,4,1,0,0,34,39
11,4,7483,8,2,4,1,3,4,0,0,0,34,39
10,4,5409,11,15,4,7,3,4,1,0,0,34,39
24,4,2803,11,15,2,3,0,4,1,0,52,56,39
24,4,19208,15,1,2,3,0,4,1,0,0,56,39
22,2,12549,2,14,2,13,0,4,1,0,0,45,39
10,4,2823,11,15,4,4,1,4,0,0,0,34,39
16,4,22239,10,7,2,13,0,1,1,0,0,34,24
1,0,7475,15,1,4,0,3,4,0,0,0,34,39
18,0,11041,15,1,2,0,0,1,1,0,0,34,30
2,4,22785,15,1,4,4,1,4,0,0,0,12,39
2,4,14830,15,1,4,7,3,4,1,0,0,12,39
13,4,8783,8,2,0,7,1,4,1,0,0,34,39
60,4,13118,10,7,6,4,4,4,1,0,0,34,39
29,4,16132,11,15,2,3,0,4,1,73,0,34,39
22,6,18754,4,9,2,5,0,4,1,0,0,45,26
29,6,18384,9,4,2,5,0,4,1,0,0,34,39
37,4,4685,11,15,2,3,0,4,1,0,0,34,39
17,6,9132,9,4,4,10,1,4,0,0,0,50,39
25,7,23525,14,6,0,10,4,4,0,0,0,34,39
7,4,1800,11,15,4,1,3,1,1,0,70,34,30
19,5,8299,15,1,2,3,0,4,1,111,0,39,39
47,0,12494,15,1,2,0,0,4,1,0,0,12,39
35,4,28485,11,15,5,3,3,2,0,0,0,34,39
21,4,12191,15,1,6,1,4,2,0,0,0,34,39
24,4,9105,9,4,2,4,0,4,1,0,0,34,0
47,1,7188,15,1,6,4,1,4,0,0,0,17,39
35,1,19220,10,7,2,10,0,1,1,0,0,34,0
19,7,14048,15,1,0,8,4,2,0,0,0,12,39
1,2,18421,0,12,4,3,3,2,1,0,0,34,39
3,4,21574,15,1,4,7,3,4,1,0,0,23,39
12,4,17537,11,15,2,3,0,4,1,0,0,34,39
14,7,24553,8,2,4,3,3,4,1,0,0,34,39
18,4,26105,11,15,2,7,0,4,1,0,0,34,39
21,7,3572,12,5,2,4,0,4,1,111,0,56,39
29,2,20672,12,5,2,4,0,4,1,0,0,34,39
41,4,3867,11,15,2,7,0,4,1,0,0,34,39
8,4,24983,11,15,4,8,1,2,1,0,0,34,24
8,4,1962,7,3,4,1,1,4,0,0,0,34,39
16,4,9486,11,15,4,7,1,4,1,0,0,34,39
28,4,8860,8,2,2,3,0,4,1,0,0,28,39
56,4,623,9,4,2,10,0,4,1,10,0,71,39
26,4,25755,3,8,3,5,1,4,1,0,0,20,26
44,4,19006,9,4,2,4,0,4,1,0,0,45,39
41,1,11616,15,1,2,4,0,4,1,20,0,34,39
17,4,7968,11,15,2,12,0,4,1,0,0,39,39
4,4,28023,4,9,4,3,3,4,1,0,0,34,13
25,4,4426,11,15,2,3,0,4,1,0,0,56,39
37,4,4673,11,15,2,12,0,4,1,0,27,45,39
5,4,25110,15,1,4,13,1,4,0,0,0,56,39
49,4,7307,9,4,2,12,0,4,1,29,0,34,39
6,4,4145,11,15,2,3,0,4,1,0,0,34,39
17,4,387,15,1,2,4,0,4,1,0,0,34,39
9,4,26946,8,2,0,10,4,4,0,0,0,29,39
11,4,18812,5,10,2,6,0,4,1,0,0,45,39
28,2,15129,11,15,5,8,4,2,0,0,0,34,39
3,4,14570,15,1,4,8,3,4,1,0,0,23,39
37,5,401,12,5,0,4,4,4,0,99,0,28,39
32,6,6836,11,15,2,8,0,4,1,0,0,34,39
7,0,8014,9,4,4,0,1,4,1,0,0,45,39
2,4,17002,15,1,4,6,3,4,1,0,0,28,39
7,4,8202,11,15,2,7,0,4,1,0,0,34,39
17,4,11412,8,2,4,1,1,4,0,0,0,34,39
25,6,11814,9,4,2,12,0,4,1,0,0,56,39
13,4,22628,8,2,0,12,1,4,0,0,0,34,39
30,4,14691,11,15,2,8,0,2,1,0,0,56,39
34,4,3631,11,15,5,6,4,4,0,0,0,34,39
23,7,10947,15,1,2,11,0,4,1,0,0,34,39
53,5,22867,15,1,2,12,0,4,1,3,0,34,39
19,6,535,15,1,2,4,0,4,1,0,0,50,39
40,1,24688,12,5,0,4,1,4,0,0,0,56,39
15,4,24581,15,1,0,3,4,4,1,0,0,34,39
22,4,26350,11,15,5,7,4,4,0,0,0,16,39
24,2,754,9,4,2,10,5,4,0,0,0,47,39
52,5,846,12,5,2,4,0,4,1,105,0,34,39
19,4,5122,9,4,2,10,0,4,1,0,0,45,39
2,2,17802,11,15,4,11,3,4,0,0,0,29,39
13,4,24553,9,4,2,13,0,4,1,0,43,34,39
14,4,3921,9,4,2,4,0,4,1,0,0,34,39
36,4,22439,9,4,2,4,0,1,1,122,0,45,19
19,4,17336,11,15,4,14,3,2,1,0,0,42,39
27,4,19191,11,15,3,3,4,4,1,0,0,34,4
46,4,16432,11,15,6,4,1,4,1,0,0,34,39
30,6,3613,11,15,3,3,1,4,1,0,0,34,39
10,5,14981,11,15,5,1,1,4,1,0,0,31,39
5,4,7818,11,15,4,3,1,4,1,0,0,45,39
0,4,4411,1,13,4,8,3,4,1,0,0,12,39
27,4,13964,12,5,0,10,4,4,0,0,0,17,39
19,2,20008,9,4,4,10,3,2,1,0,0,28,39
21,6,6645,14,6,4,10,1,4,1,0,85,39,39
42,4,28048,10,7,2,12,0,4,1,0,0,34,39
3,0,8355,11,15,4,0,3,3,0,0,0,39,39
25,4,26265,5,10,2,3,0,3,1,0,0,34,39
16,1,27973,11,15,0,1,4,4,0,0,0,34,39
11,4,25900,11,15,2,8,3,4,0,0,0,28,39
1,4,25444,15,1,4,8,3,4,1,0,0,23,39
25,6,13566,11,15,0,12,3,4,1,0,0,45,0
35,6,28041,11,15,2,12,0,4,1,0,0,56,39
36,4,14956,11,15,2,1,5,4,0,0,0,34,39
3,4,16924,11,15,4,6,3,2,1,0,0,34,39
31,4,15408,4,9,2,6,0,4,1,0,0,34,26
38,6,25848,6,11,2,5,0,4,1,0,0,17,39
39,4,17936,9,4,2,7,0,4,1,0,0,34,39
9,4,6957,11,15,4,3,2,1,1,0,0,34,17
41,4,11030,4,9,2,5,0,4,1,0,0,34,26
41,4,18945,7,3,0,10,1,4,1,0,0,29,39
21,4,9884,11,15,2,4,0,4,1,0,0,39,39
6,4,3001,15,1,4,8,1,4,0,0,0,28,39
44,6,13952,15,1,2,1,0,4,1,0,0,45,39
25,4,2706,11,15,2,3,0,2,1,114,0,39,39
17,4,5651,11,15,2,3,0,4,1,0,39,45,39
1,4,10305,15,1,4,8,3,4,1,0,0,23,39
12,4,10675,9,4,2,3,2,1,1,0,0,23,19
7,4,21391,11,15,2,7,0,4,1,0,0,34,39
7,4,24548,7,3,4,12,1,2,1,0,0,34,0
4,4,26185,11,15,4,3,1,2,1,0,0,25,39
22,4,18706,11,15,2,3,0,2,1,0,0,34,39
52,2,4336,0,12,2,1,5,4,0,0,0,8,39
14,4,23023,9,4,4,1,1,4,1,0,0,45,39
24,4,13820,7,3,2,12,0,4,1,0,0,12,39
30,7,18657,9,4,2,10,5,4,0,0,0,34,39
14,4,25572,9,4,2,10,0,4,1,94,0,25,39
10,4,7002,9,4,2,10,5,4,0,0,0,34,39
29,4,6666,8,2,5,10,1,4,1,0,0,34,39
52,4,7924,0,12,5,7,1,4,0,0,0,20,29
20,4,25957,15,1,2,3,0,4,1,0,0,39,39
14,4,1314,11,15,4,7,1,4,1,0,0,34,39
5,7,2388,9,4,4,10,1,4,0,0,0,34,39
24,6,11192,9,4,2,5,0,4,1,0,0,71,39
39,4,20789,11,15,2,7,0,4,1,0,0,34,22
47,4,8938,14,6,2,10,0,4,1,0,0,34,39
44,4,14910,0,12,0,8,1,4,1,0,0,16,39
7,4,6321,11,15,0,4,1,4,0,0,0,39,39
47,0,14389,12,5,2,0,5,2,0,119,0,45,23
16,4,25875,11,15,4,14,1,4,1,0,0,34,39
20,4,27987,5,10,4,7,3,4,0,0,0,17,39
11,4,26737,11,15,4,6,1,4,1,0,0,45,39
45,4,19936,15,1,0,4,1,4,0,0,0,34,39
0,4,14807,1,13,4,1,3,4,0,0,0,3,39
3,6,23998,11,15,4,12,3,4,1,0,0,34,39
33,4,18414,5,10,2,7,0,2,1,0,0,34,39
20,4,27068,1,13,2,8,0,4,1,0,0,34,39
30,4,23823,8,2,0,12,4,2,0,0,0,17,39
24,5,15178,9,4,2,10,0,4,1,20,0,34,39
38,4,11595,11,15,2,12,5,4,0,0,0,45,39
